name,year,mpaa,sex,violence,profanity
Brooklyn's Finest ,2010,R,9,9,10
Buffalo Soldiers ,2003,R,6,7,10
Bulworth ,1998,R,3,3,10
Burn After Reading ,2008,R,8,7,10
Burnt ,2015,R,3,4,10
"Butterfly Effect, The ",2004,R,8,8,10
Cabin Fever ,2003,R,6,10,10
"Cabin in the Woods, The ",2012,R,6,9,10
Cadillac Records ,2008,R,7,5,10
"Canyons, The ",2013,R,9,5,10
Casino ,1995,R,5,9,10
"Change-Up, The ",2011,R,9,5,10
Chernobyl Diaries ,2012,R,2,7,10
Children of Men ,2006,R,6,8,10
CHIPS ,2017,R,8,7,10
City by the Sea ,2002,R,3,5,10
Clay Pigeons ,1998,R,6,7,10
Clerks II ,2006,R,10,4,10
"Comedian, The ",2017,R,4,4,10
Confessions of a Dangerous Mind ,2002,R,7,5,10
Confidence ,2003,R,6,5,10
Contraband ,2012,R,3,7,10
Control ,2007,R,6,4,10
Conviction ,2010,R,5,7,10
"Cooler, The ",2003,R,8,7,10
Copenhagen ,2014,NR,6,3,10
Cop Out ,2010,R,6,7,10
Crank ,2006,R,9,8,10
Crank: High Voltage ,2009,R,10,10,10
Crash ,2005,R,6,8,10
Criminal ,2004,R,3,4,10
Crossing Over ,2009,R,8,7,10
Dallas Buyers Club ,2013,R,8,5,10
Dangerous Game ,1994,R,8,6,10
Dark Blue ,2003,R,5,7,10
Dead Man Down ,2013,R,6,7,10
Deadpool ,2016,R,8,8,10
Death of a Dynasty ,2005,R,5,4,10
Death Sentence ,2007,R,2,8,10
"Departed, The ",2006,R,7,8,10
Detachment ,2011,NR,7,5,10
Detroit ,2017,R,5,8,10
Detroit Rock City ,1999,R,6,4,10
Deuces Wild ,2002,R,4,7,10
Devil's Advocate ,1997,R,7,6,10
Devil's Rejects ,2005,R,9,10,10
Dirty Grandpa ,2016,R,8,4,10
Disconnect ,2013,R,7,5,10
District 9 ,2009,R,4,10,10
"Divide, The ",2012,R,9,10,10
Dogma ,1999,R,5,8,10
Dom Hemingway ,2014,R,7,6,10
Domino ,2005,R,7,9,10
Don Jon ,2013,R,8,3,10
Donnie Brasco ,1997,R,2,7,10
Don't Be a Menace in South Central While Drinking Your Juice in the Hood ,1996,R,5,5,10
Dope ,2015,R,6,6,10
"Drop, The ",2014,R,2,7,10
"D Train, The ",2015,R,8,2,10
Dysfunktional Family ,2003,R,7,1,10
8 Mile ,2002,R,6,5,10
8MM ,1999,R,9,9,10
El Cantante ,2007,R,7,3,10
Elysium ,2013,R,2,8,10
Empire ,2002,R,7,7,10
End of Watch ,2012,R,5,8,10
Entourage ,2015,R,8,3,10
"Equalizer, The ",2014,R,4,8,10
Fade to Black ,2004,R,4,1,10
"Family Tree, The ",2011,R,7,6,10
Fear of a Black Hat ,1994,R,3,3,10
Feast ,2006,R,7,10,10
Fifteen Minutes ,2001,R,6,9,10
50/50 ,2011,R,6,4,10
Fifty Shades of Black ,2016,R,10,5,10
Fight Club ,1999,R,7,10,10
"Fighter, The ",2010,R,6,7,10
Final Destination ,2000,R,5,8,10
Find Me Guilty ,2006,R,4,5,10
First Snow ,2007,R,6,5,10
Fist Fight ,2017,R,6,6,10
Flawless ,1999,R,5,5,10
Flight ,2012,R,7,6,10
Focus ,2015,R,6,5,10
Formula 51 ,2002,R,6,8,10
"Forsaken, The ",2001,R,9,10,10
"40-Year-Old Virgin, The ",2005,R,8,4,10
Four Brothers ,2005,R,6,7,10
Free Fire ,2017,R,3,8,10
Fresh ,1994,R,4,8,10
Friday ,1995,R,3,5,10
Friday After Next ,2002,R,5,5,10
Friday the 13th ,2009,R,9,9,10
From Dusk till Dawn ,1996,R,6,10,10
From Paris with Love ,2010,R,6,8,10
Fruitvale Station ,2013,R,6,7,10
Funny People ,2009,R,9,4,10
Fury ,2014,R,4,8,10
"Gambler, The ",2014,R,6,4,10
Gang Related ,1997,R,4,7,10
"General, The ",1998,R,4,6,10
Get Hard ,2015,R,8,5,10
Get Him to the Greek ,2010,R,9,6,10
Ghost Dog: The Way of the Samurai ,1999,R,2,7,10
Gigli ,2003,R,7,6,10
"Girl, Interrupted ",1999,R,6,6,10
Girls Trip ,2017,R,8,5,10
Gloria ,1999,R,4,7,10
Go ,1999,R,7,6,10
Going the Distance ,2010,R,8,3,10
Gold ,2017,R,6,4,10
Gone Baby Gone ,2007,R,5,7,10
Goodbye Lover ,1999,R,7,6,10
Good Kill ,2015,R,6,6,10
"Goods: Live Hard, Sell Hard, The ",2009,R,8,4,10
Good Will Hunting ,1997,R,3,2,10
Goon ,2012,R,7,8,10
Gran Torino ,2008,R,4,7,10
Green Room ,2016,R,1,9,10
"Grey, The ",2012,R,2,7,10
Gridlock'd ,1997,R,4,5,10
Grindhouse ,2007,R,8,10,10
Halloween ,2007,R,10,10,10
Halloween II ,2009,R,8,10,10
Hands of Stone ,2016,R,7,6,10
"Hangover, The ",2009,R,10,7,10
"Hangover Part II, The ",2011,R,10,7,10
"Hangover Part III, The ",2013,R,7,7,10
"Hard Word, The ",2003,R,7,7,10
Harold and Kumar Escape from Guantanamo Bay ,2008,R,9,6,10
Harold and Kumar Go to White Castle ,2004,R,7,6,10
Harrison's Flowers ,2002,R,5,8,10
"Haunted House 2, A ",2014,R,8,8,10
Heat ,1995,R,3,9,10
"Heat, The ",2013,R,6,6,10
Heist ,2001,R,4,6,10
High Fidelity ,2000,R,6,3,10
Hit & Run ,2012,R,8,6,10
"Hitman's Bodyguard, The ",2017,R,4,8,10
Hobo with a Shotgun ,2011,NR,5,10,10
Hoffa ,1992,R,2,8,10
Hollow Man ,2000,R,8,9,10
Homefront ,2013,R,6,7,10
Horns ,2014,R,7,7,10
Horrible Bosses ,2011,R,7,6,10
Horrible Bosses 2 ,2014,R,7,4,10
Hostage ,2005,R,3,8,10
Hostel ,2005,R,9,10,10
Hostel: Part II ,2007,R,8,10,10
Hot Tub Time Machine ,2010,R,8,5,10
Hot Tub Time Machine 2 ,2015,R,8,6,10
"House, The ",2017,R,6,7,10
How High ,2001,R,6,5,10
Hurlyburly ,1998,R,4,3,10
"Hurt Locker, The ",2009,R,3,8,10
Hustle & Flow ,2005,R,7,5,10
Hyena ,2015,NR,9,10,10
"Ice Harvest, The ",2005,R,8,8,10
"Iceman, The ",2013,R,7,8,10
"Ides of March, The ",2011,R,6,2,10
I Hope They Serve Beer in Hell ,2009,R,8,5,10
"I Love You, Man ",2009,R,6,3,10
I'll Sleep When I'm Dead ,2004,R,6,8,10
I Melt With You ,2011,R,6,5,10
"Inbetweeners Movie, The ",2012,R,9,5,10
In Bruges ,2008,R,5,7,10
"Infiltrator, The ",2016,R,6,7,10
"Informers, The ",2009,R,10,6,10
Inside Llewyn Davis ,2013,R,3,3,10
Inside Man ,2006,R,4,6,10
"Interview, The ",2014,R,7,8,10
In The Cut ,2003,R,9,7,10
I Think I Love My Wife ,2007,R,6,4,10
Jackass 3D ,2010,R,8,8,10
Jackass: Number Two ,2006,R,8,8,10
Jarhead ,2005,R,8,7,10
Jay and Silent Bob Strike Back ,2001,R,7,5,10
John Carpenter's Vampires ,1998,R,7,10,10
Keanu ,2016,R,6,7,10
Kevin Hart: What Now? ,2016,R,4,5,10
Kick-Ass ,2010,R,7,9,10
Killer Elite ,2011,R,7,8,10
Killing Them Softly ,2012,R,5,7,10
Kingsman: The Secret Service ,2015,R,4,7,10
"Kiss Kiss, Bang Bang ",2005,R,8,7,10
Knockaround Guys ,2002,R,1,7,10
Knocked Up ,2007,R,9,5,10
"Ladykillers, The ",2004,R,4,5,10
Legend ,2015,R,4,9,10
Life ,1999,R,3,4,10
Light It Up ,1999,R,2,5,10
Live by Night ,2017,R,6,8,10
Locke ,2014,R,3,3,10
"Lock, Stock & Two Smoking Barrels ",1998,R,5,9,10
Logan ,2017,R,5,8,10
Lone Survivor ,2013,R,1,9,10
Lord of War ,2005,R,7,8,10
Love and a Bullet ,2002,R,6,7,10
Lucky Numbers ,2000,R,7,5,10
Machete Kills ,2013,R,5,9,10
Magic Mike ,2012,R,8,4,10
Magic Mike XXL ,2015,R,8,2,10
Magnolia ,1999,R,7,6,10
"Man Apart, A ",2003,R,7,9,10
Manchester by the Sea ,2016,R,6,5,10
Margin Call ,2011,R,3,2,10
Meet the Blacks ,2016,R,5,6,10
"Me, Myself & Irene ",2000,R,6,6,10
"Mexican, The ",2001,R,3,7,10
Mike and Dave Need Wedding Dates ,2016,R,8,5,10
Miles Ahead ,2016,R,6,6,10
"Million Ways to Die in the West, A ",2014,R,7,6,10
Miss March ,2009,R,8,5,10
Money Kings ,1998,R,3,4,10
Money Monster ,2016,R,5,5,10
Movie 43 ,2013,R,9,8,10
My Brother the Devil ,2013,NR,6,6,10
My Soul to Take ,2010,R,4,8,10
Mystic River ,2003,R,7,8,10
Narc ,2002,R,4,8,10
Neighbors ,2014,R,9,6,10
Neighbors 2: Sorority Rising ,2016,R,7,6,10
Never Die Alone ,2004,R,8,8,10
Next Day Air ,2009,R,7,8,10
Next Friday ,2000,R,6,4,10
"Nice Guys, The ",2016,R,7,7,10
"Night Before, The ",2015,R,8,4,10
99 Homes ,2015,R,3,6,10
Nocturnal Animals ,2016,R,7,8,10
Notorious ,2009,R,8,6,10
Nurse Betty ,2000,R,6,8,10
Observe and Report ,2009,R,9,7,10
Office Christmas Party ,2016,R,8,4,10
One Tough Cop ,1998,R,3,5,10
"Original Kings of Comedy, The ",2000,R,4,0,10
Out of Sight ,1998,R,5,6,10
Out of the Furnace ,2013,R,3,7,10
Outside Providence ,1999,R,4,4,10
Paid in Full ,2002,R,7,8,10
Pain & Gain ,2013,R,7,7,10
Panic Room ,2002,R,2,7,10
"Paperboy, The ",2012,R,8,7,10
Paranormal Activity: The Marked Ones ,2014,R,7,6,10
Parker ,2013,R,6,8,10
Patriots Day ,2016,R,2,8,10
Patti Cake$ ,2017,R,6,3,10
Paul ,2011,R,5,5,10
Phone Booth ,2003,R,4,4,10
Pineapple Express ,2008,R,5,7,10
"Place Beyond the Pines, A ",2013,R,5,6,10
Play It to the Bone ,1999,R,8,7,10
Popstar: Never Stop Never Stopping ,2016,R,8,4,10
Precious ,2009,R,8,8,10
Pride and Glory ,2008,R,6,8,10
Project X ,2012,R,7,5,10
Proof of Life ,2000,R,2,8,10
Pulp Fiction ,1994,R,9,10,10
Pusher ,2012,R,7,7,10
"Raid: Redemption, The ",2011,R,1,10,10
"Raid 2, The: Berandal ",2014,R,6,9,10
Rampart ,2011,R,8,6,10
"Real Cancun, The ",2003,R,7,3,10
Reindeer Games ,2000,R,6,7,10
Restrepo ,2010,R,3,8,10
Riddick ,2013,R,6,7,10
Righteous Kill ,2008,R,8,8,10
RocknRolla ,2008,R,7,8,10
Rounders ,1998,R,5,3,10
"Rules of Attraction, The ",2002,R,9,6,10
"Runaways, The ",2010,R,8,4,10
Runner Runner ,2013,R,6,5,10
Running Scared ,2006,R,8,8,10
Sabotage ,2014,R,7,9,10
Sausage Party ,2016,R,9,6,10
Savages ,2012,R,8,9,10
Saw II ,2005,R,1,9,10
Saw 3D ,2010,R,1,10,10
Saw IV ,2007,R,7,10,10
Scouts Guide to the Zombie Apocalypse ,2015,R,8,8,10
Seven Psychopaths ,2012,R,7,9,10
Sexy Beast ,2001,R,6,7,10
Sex Drive ,2008,R,9,6,10
Sex Tape ,2014,R,9,4,10
Shaft ,2000,R,4,8,10
Shame ,2011,NA,10,5,10
She's Out of My League ,2010,R,7,4,10
Shut Up Little Man! An Audio Misadventure ,2011,NR,3,4,10
Sideways ,2004,R,8,5,10
Silver Linings Playbook ,2012,R,5,4,10
Sisters ,2015,R,6,5,10
SLC Punk! ,1999,R,5,5,10
Sleepless ,2017,R,5,8,10
Smokin' Aces ,2007,R,7,9,10
Snatch ,2001,R,6,10,10
Soul Men ,2008,R,8,4,10
"South Park: Bigger, Longer and Uncut ",1999,R,7,6,10
Southpaw ,2015,R,5,7,10
Spring ,2015,NR,6,7,10
Spring Breakers ,2013,R,8,7,10
Spy ,2015,R,7,7,10
Stand Up Guys ,2013,R,6,6,10
"Stanford Prison Experiment, The ",2015,R,6,7,10
State Property 2 ,2005,R,7,7,10
Stone ,2010,R,8,7,10
Stonewall ,2015,R,7,5,10
Stop-Loss ,2008,R,4,8,10
Straight Outta Compton ,2015,R,8,6,10
Strange Wilderness ,2008,R,7,6,10
Straw Dogs ,2011,R,8,8,10
Street Kings ,2008,R,4,8,10
Sugar Town ,1999,R,5,2,10
Summer of Sam ,1999,R,8,8,10
Super ,2011,NR,8,8,10
Superbad ,2007,R,8,5,10
Super Troopers ,2001,R,8,4,10
Take Me Home Tonight ,2011,R,8,4,10
"Taking of Pelham 123, The ",2009,R,4,7,10
Team America: World Police ,2004,R,9,8,10
Ted ,2012,R,8,5,10
Ted 2 ,2015,R,6,5,10
Tenacious D: The Pick of Destiny ,2006,R,6,5,10
Ten Benny ,1996,R,4,3,10
Texas Chainsaw 3D ,2013,R,7,10,10
That Awkward Moment ,2014,R,7,3,10
That's My Boy ,2012,R,9,5,10
13 Hours: The Secret Soldiers of Benghazi ,2016,R,2,8,10
30 Minutes or Less ,2011,R,7,7,10
This is 40 ,2012,R,8,3,10
This Is the End ,2013,R,8,7,10
3 Strikes ,2000,R,6,4,10
"3,000 Miles to Graceland ",2001,R,7,10,10
Top Five ,2014,R,9,3,10
"Town, The ",2010,R,7,8,10
Traffic ,2000,R,6,7,10
Training Day ,2001,R,7,8,10
Trainwreck ,2015,R,7,4,10
Trapped ,2002,R,5,6,10
Triple 9 ,2016,R,7,8,10
Tropic Thunder ,2008,R,5,7,10
True Romance ,1993,R,7,10,10
T2 Trainspotting ,2017,R,9,6,10
Turn It Up ,2000,R,5,8,10
Tusk ,2014,R,6,7,10
20 Dates ,1998,R,6,2,10
25th Hour ,2002,R,3,4,10
21 and Over ,2013,R,7,6,10
21 Jump Street ,2012,R,7,7,10
Two for the Money ,2005,R,6,4,10
Two Girls and a Guy ,1998,R,5,3,10
22 Jump Street ,2014,R,5,5,10
Undisputed ,2002,R,4,5,10
Unfriended ,2015,R,6,7,10
Very Bad Things ,1998,R,7,8,10
"Very Harold & Kumar 3D Christmas, A ",2011,R,9,8,10
Vince Vaughn's Wild West Comedy Show ,2008,R,4,2,10
"Virginity Hit, The ",2010,R,9,3,10
Waist Deep ,2006,R,7,8,10
Waiting ,2005,R,8,4,10
"Walking Dead, The ",1995,R,4,7,10
War Dogs ,2016,R,4,5,10
"Watch, The ",2012,R,8,8,10
We Are Your Friends ,2015,R,7,5,10
"Weather Man, The ",2005,R,7,3,10
"Wedding Ringer, The ",2015,R,6,5,10
We Own the Night ,2007,R,7,7,10
We're the Millers ,2013,R,7,6,10
What Just Happened ,2008,R,6,5,10
Whipped ,2000,R,9,1,10
Whiskey Tango Foxtrot ,2016,R,6,7,10
Why Him? ,2016,R,6,4,10
Wilson ,2017,R,6,4,10
"Wolf of Wall Street, The ",2013,R,10,4,10
Wonderland ,2003,R,7,9,10
"Wood, The ",1999,R,6,3,10
"World's End, The ",2013,R,4,6,10
Your Friends and Neighbors ,1998,R,9,3,10
Your Sister's Sister ,2012,R,6,2,10
Zack and Miri Make a Porno ,2008,R,10,2,10
Abandon ,2002,PG-13,4,4,4
Abduction ,2011,PG-13,4,5,5
About A Boy ,2002,PG-13,3,3,5
About Schmidt ,2002,R,6,3,5
About Time ,2013,R,6,4,5
Above the Rim ,1994,R,0,6,9
"Abraham Lincoln, Vampire Hunter ",2012,R,5,8,5
Absolutely Fabulous: The Movie ,2016,R,5,4,6
Absolute Power ,1997,R,5,7,5
Accepted ,2006,PG-13,4,3,2
"Accountant, The ",2016,R,1,7,7
Ace Ventura: Pet Detective ,1994,R,4,4,4
Ace Ventura: When Nature Calls ,1995,PG-13,3,4,1
A.C.O.D. ,2013,R,6,2,5
Across the Universe ,2007,PG-13,7,5,5
Act of Valor ,2012,R,2,8,6
Adam ,2009,PG-13,5,4,5
Adaptation ,2002,R,6,6,8
Addams Family Values ,1993,PG-13,2,4,1
Addicted to Love ,1997,R,4,3,4
"Adjustment Bureau, The ",2011,PG-13,5,5,5
Admission ,2013,PG-13,4,3,5
Adult Beginners ,2015,R,4,2,9
"Adventures of Elmo In Grouchland, The ",1999,G,0,1,0
"Adventures of Huck Finn, The ",1993,PG,0,5,2
"Adventures of Shark Boy & Lava Girl in 3-D, The ",2005,PG,2,4,1
"Adventures of Ociee Nash, The ",2004,G,0,2,1
"Adventures of Pinocchio, The ",1996,G,0,2,0
"Adventures of Pluto Nash, The ",2002,PG-13,3,4,4
"Adventures of Rocky and Bullwinkle, The ",2000,PG,2,4,2
"Adventures of the Great Mouse Detective, The ",1992,G,0,1,0
"Adventures of Tintin, The ",2011,PG,0,5,3
Aeon Flux ,2005,PG-13,5,7,0
Affliction ,1998,R,2,8,8
African Cats ,2011,G,0,5,1
After Earth ,2013,PG-13,1,6,1
Afternoon Delight ,2013,R,9,2,9
After the Sunset ,2004,PG-13,7,4,5
Against the Ropes ,2004,PG-13,5,5,4
Agent Cody Banks ,2003,PG,3,4,3
Agent Cody Banks 2: Destination London ,2004,PG,2,4,3
"Age of Adalin, The ",2015,PG-13,4,4,3
"Age of Innocence, The ",1993,PG,2,0,1
A.I.: Artificial Intelligence ,2001,PG-13,4,5,2
Ain't Them Bodies Saints ,2013,R,4,7,5
Air Bud ,1997,PG,1,2,1
Air Bud: Golden Receiver ,1998,G,0,2,1
Air Force One ,1997,R,1,8,6
"Air Up There, The ",1994,PG,1,4,3
Airborne ,1993,PG,3,2,0
Airheads ,1994,PG-13,3,3,3
Akeelah and the Bee ,2006,PG,1,2,3
Aladdin ,1992,G,1,3,0
"Alamo, The ",2004,PG-13,2,6,3
Alaska ,1996,PG,0,3,2
Albert Nobbs ,2011,R,6,3,5
Alex and Emma ,2003,PG-13,6,3,3
Alexander ,2004,R,9,9,2
Alex Cross ,2012,PG-13,5,7,5
Alfie ,2004,R,7,3,5
Ali ,2001,R,4,6,5
Alice Through the Looking Glass ,2016,PG,1,4,1
Alice in Wonderland ,2010,PG,2,5,1
Alien: Covenant ,2017,R,5,9,8
Alien: The Director's Cut ,1979,R,3,8,5
Alien Resurrection ,1997,R,5,9,8
Aliens in the Attic ,2009,PG,3,4,3
Aliens of the Deep ,2005,G,1,1,0
Alien 3 ,1992,R,2,8,7
Alien Vs. Predator ,2004,PG-13,0,8,5
Alive ,1993,R,0,7,6
All About My Mother ,1999,R,6,3,6
All About Steve ,2009,PG-13,5,4,4
All Dogs Go to Heaven II ,1996,G,0,2,0
Allied ,2016,R,6,7,6
All Is Lost ,2013,PG-13,0,4,5
All Saints ,2017,PG,1,3,2
All the King's Men ,2006,PG-13,4,5,4
All the Pretty Horses ,2000,PG-13,3,6,3
Almost Christmas ,2016,PG-13,3,3,4
Almost Famous ,2000,R,5,3,8
Aloha ,2015,PG-13,3,3,5
Alone in the Dark ,2005,R,6,9,5
Along Came a Spider ,2001,R,3,7,5
Along Came Polly ,2003,PG-13,6,4,4
Alpha and Omega ,2010,PG,2,4,1
Alvin and the Chipmunks ,2007,PG,2,3,2
Alvin and The Chipmunks: Chip-Wrecked ,2011,G,1,3,1
Alvin and the Chipmunks: The Road Chip ,2015,PG,2,3,2
Alvin and the Chipmunks: The Squeakquel ,2009,PG,2,3,2
Amazing Grace ,2006,PG,2,4,2
"Amazing Panda Adventure, The ",1995,PG,2,3,1
"Amazing Spider-Man, The ",2012,PG-13,3,6,4
"Amazing Spider-Man 2, The ",2014,PG-13,1,6,3
Amelia ,2009,PG,4,3,3
Amelie ,2001,R,8,4,3
"American, The ",2010,R,9,7,5
American Beauty ,1999,R,8,6,7
"American Carol, An ",2008,PG-13,4,5,4
American Dreamz ,2006,PG-13,4,4,5
"American Haunting, An ",2006,PG-13,5,6,2
American Me ,1992,R,8,9,6
American Outlaws ,2001,PG-13,3,6,4
American Pie ,1999,R,9,2,8
American Pie 2 ,2001,R,8,3,7
"American President, The ",1995,PG-13,2,1,5
American Psycho ,2000,R,10,9,8
American Reunion ,2012,R,8,3,9
"American Rhapsody, An ",2001,PG-13,3,4,3
American Splendor ,2003,R,3,4,5
American Teen ,2008,PG-13,3,4,5
America's Heart and Soul ,2004,PG,3,3,1
America's Sweethearts ,2001,PG-13,4,4,5
Amistad ,1998,R,5,5,1
"Amityville Horror, The ",2005,R,6,9,5
Amongst Friends ,1994,R,4,4,7
Amos and Andrew ,1993,PG-13,1,3,4
Amour ,2012,PG-13,4,5,5
Amreeka ,2009,PG-13,2,4,5
Amy ,2015,R,5,4,6
Anaconda ,1997,PG-13,4,8,5
Anacondas: The Hunt for the Blood Orchid ,2004,PG-13,4,7,5
Anastasia ,1997,G,0,4,0
Anchorman ,2004,PG-13,6,5,5
Anchorman 2 ,2013,PG-13,5,5,5
Andre ,1994,PG,1,3,1
And So It Goes ,2014,PG-13,3,2,4
Angela's Ashes ,1999,R,6,5,6
Angel Eyes ,2001,R,5,5,8
Angels & Demons ,2009,PG-13,1,7,3
Angels in the Outfield ,1994,PG,0,2,2
Anger Management ,2003,PG-13,5,3,5
Angie ,1994,R,4,0,5
"Angry Birds Movie, The ",2016,PG,3,3,2
Angus ,1995,PG-13,2,2,5
"Animal, The ",2001,PG-13,4,4,4
Animals ,2015,R,5,5,9
Anna and the King ,1999,PG-13,2,6,0
Annabelle ,2014,R,2,7,2
Annabelle: Creation ,2017,R,1,7,2
Anna Karenina ,2012,R,6,6,3
Annie ,2014,PG,2,3,3
"Anniversary Party, The ",2001,R,5,2,8
Anomalisa ,2015,R,8,1,8
Anonymous ,2011,PG-13,7,6,4
Another Earth ,2011,PG-13,5,6,1
Another Stakeout ,1993,PG-13,2,4,3
Another Year ,2010,PG-13,3,2,5
"Ant Bully, The ",2006,PG,2,4,1
Antitrust ,2001,PG-13,2,5,5
Ant-Man ,2015,PG-13,1,5,4
Antwone Fisher ,2002,PG-13,4,5,5
Antz ,1998,PG,2,4,3
Any Day Now ,2012,R,6,3,6
Anything Else ,2003,R,6,3,4
Anywhere But Here ,1999,PG-13,4,2,3
Apocalypto ,2006,R,5,9,5
Apollo 13 ,1995,PG,2,2,5
Apollo 18 ,2011,PG-13,1,5,5
Appaloosa ,2008,R,5,7,5
Apparition ,2012,PG-13,4,7,4
Apt Pupil ,1998,R,6,6,7
Aquamarine ,2006,PG,3,3,3
Arctic Tale ,2007,G,1,4,0
Are We Done Yet? ,2007,PG,3,3,1
Are We There Yet? ,2005,PG,3,4,4
Argo ,2012,R,3,6,7
Arlington Road ,1999,R,2,7,5
Armageddon ,1998,PG-13,3,5,6
Armored ,2009,PG-13,1,6,5
Army of Darkness ,1993,R,1,7,5
Around the Bend ,2004,R,4,5,6
Around the World in 80 Days ,2004,PG,3,4,3
"Arrival, The ",1996,PG-13,3,4,5
Arrival ,2016,PG-13,1,3,5
Arthur ,2011,PG-13,6,5,4
Arthur Christmas ,2011,PG,1,3,1
Article 99 ,1992,R,0,6,6
"Artist, The ",2011,PG-13,2,3,3
"Art of Getting By, The ",2011,PG-13,4,3,5
"Art of War, The ",2000,R,6,7,7
"As Above, So Below ",2014,R,2,7,9
As Good As It Gets ,1997,PG-13,3,6,6
As I Lay Dying ,2013,R,6,5,3
Ask the Dust ,2006,R,7,4,5
Aspen Extreme ,1993,PG-13,4,3,3
"Assassination of Jesse James by the Coward Robert Ford, The ",2007,R,4,7,4
Assassin's Creed ,2016,PG-13,1,6,5
Assassins ,1995,R,1,6,7
"Associate, The ",1996,PG-13,4,1,3
Astro Boy ,2009,PG,1,4,1
"Astronaut Farmer, The ",2007,PG,1,3,3
"Astronaut's Wife, The ",1999,R,5,5,6
At Any Price ,2013,R,6,5,6
"A-Team, The ",2010,PG-13,4,7,5
At First Sight ,1999,PG-13,5,1,3
ATL ,2006,PG-13,6,4,5
Atlantis: The Lost Empire ,2001,PG,2,4,2
Atlas Shrugged Part One ,2011,PG-13,7,2,4
Atlas Shrugged: Part II ,2012,PG-13,4,3,3
ATM ,2012,R,1,7,5
Atomic Blonde ,2017,R,7,9,9
Atonement ,2007,R,7,8,6
"Attack, The ",2013,R,6,6,5
August: Osage County ,2013,R,3,4,7
August Rush ,2007,PG,2,4,3
Austenland ,2013,PG-13,5,4,3
Austin Powers in Goldmember ,2002,PG-13,6,4,6
Austin Powers: International Man of Mystery ,1997,PG-13,4,3,5
Austin Powers: The Spy Who Shagged Me ,1999,PG-13,6,5,5
Australia ,2008,PG-13,6,7,5
Auto Focus ,2002,R,9,4,7
Autumn in New York ,2000,PG-13,4,1,5
Autumn Tale ,1999,PG,2,1,1
Avatar ,2009,PG-13,5,7,4
"Avengers, The ",2012,PG-13,2,7,3
Avengers: Age of Ultron ,2015,PG-13,3,6,3
"Aviator, The ",2004,PG-13,5,6,5
AVPR: Aliens vs Predator - Requiem ,2007,R,5,9,5
Awake ,2007,R,6,7,7
"Awakening, The ",2012,R,6,7,2
Away We Go ,2009,R,8,2,6
Babe ,1995,G,0,2,1
Babe: Pig in the City ,1998,G,1,5,1
"Babe, The ",1992,PG,1,1,5
Babel ,2006,R,8,7,6
Babies ,2010,PG,5,2,0
Baby Geniuses ,1999,PG,2,3,3
Babylon A.D. ,2008,PG-13,4,7,5
Baby Mama ,2008,PG-13,5,3,5
