name,year,mpaa,sex,violence,profanity
About Last Night ,2014,R,7,2,10
Adventureland ,2009,R,7,4,10
"Alan Smithee Film: Burn Hollywood Burn, An ",1998,R,5,3,10
Albatross ,2012,NR,8,3,10
All About the Benjamins ,2002,R,4,7,10
All Eyez on Me ,2017,R,7,7,10
Alpha Dog ,2007,R,8,7,10
American Gangster ,2007,R,8,9,10
American History X ,1998,R,7,10,10
American Honey ,2016,R,9,4,10
American Hustle ,2013,R,6,4,10
American Movie ,1999,R,1,5,10
American Sniper ,2014,R,3,8,10
American Ultra ,2015,R,3,8,10
American Wedding ,2003,R,7,3,10
Analyze That ,2002,R,5,6,10
Analyze This ,1999,R,4,7,10
Animal Kingdom ,2010,R,4,7,10
Any Given Sunday ,1999,R,8,7,10
Apocalypse Now Redux ,2001,R,7,9,10
Arbitrage ,2012,R,4,4,10
"Aristocrats, The ",2005,NR,10,6,10
Art School Confidential ,2006,R,7,6,10
Assault on Precinct 13 ,2005,R,4,8,10
Attack the Block ,2011,R,3,8,10
Baby Boy ,2001,R,9,6,10
Baby Driver ,2017,R,4,7,10
Bachelorette ,2012,R,8,4,10
Backstage ,2000,R,8,2,10
Bad Boys II ,2003,R,6,9,10
Bad Lieutenant: Port of Call New Orleans ,2009,R,8,8,10
Bad Moms ,2016,R,7,3,10
Bad Santa ,2003,R,6,5,10
Bad Santa 2 ,2016,R,8,5,10
Bait ,2000,R,5,7,10
Basic ,2003,R,5,8,10
Baywatch ,2017,R,7,7,10
"Beach, The ",2000,R,6,8,10
Before the Devil Knows You're Dead ,2007,R,8,7,10
Being Flynn ,2012,R,7,6,10
"Belko Experiment, The ",2017,R,2,10,10
Better Luck Tomorrow ,2003,R,7,6,10
"Big Lebowski, The ",1998,R,5,5,10
"Big Short, The ",2015,R,5,3,10
"Big Sick, The ",2017,R,4,4,10
Billy Elliot ,2000,R,3,3,10
Birdman or (The Unexpected Virtue of Ignorance) ,2014,R,5,4,10
Black and White ,1999,R,8,4,10
Black Mass ,2015,R,3,8,10
Black Rock ,2013,R,5,7,10
Black Sea ,2015,R,2,6,10
"Blair Witch Project, The ",1999,R,1,3,10
Blow ,2001,R,6,8,10
Body Shots ,1999,R,10,7,10
Boiler Room ,2000,R,3,3,10
Bones ,2001,R,6,10,10
Boogie Nights ,1997,R,9,7,10
Book of Shadows: Blair Witch 2 ,2000,R,9,9,10
Booty Call ,1997,R,8,2,10
Boys Don't Cry ,1999,R,9,8,10
Broken City ,2013,R,7,6,10
"Bronze, The ",2016,R,7,3,10
